         30469671 function calls (30469298 primitive calls) in 87.197 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45000   20.896    0.000   78.889    0.002 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\objective_gradient.py:7(objective_grad)
    45002   11.522    0.000   19.275    0.000 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\compute_J.py:6(determine_stability)
  1584160    9.799    0.000    9.799    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   270000    5.560    0.000   19.311    0.000 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\objective_gradient.py:226(multiply_by_inverse_jacobian)
3294065/3293985    4.696    0.000   34.119    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1579150    3.683    0.000   15.173    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:73(_wrapreduction)
   270000    3.146    0.000    4.445    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\lib\stride_tricks.py:116(_broadcast_to)
    45000    2.708    0.000   84.162    0.002 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\strategy_optimization.py:26(grad_descent_constrained)
  1254670    2.438    0.000   13.441    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2092(sum)
  1566218    2.034    0.000    2.034    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   454860    1.741    0.000    1.741    0.000 {built-in method numpy.arange}
    45000    1.519    0.000    2.390    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:482(inv)
  1254670    1.328    0.000   16.145    0.000 <__array_function__ internals>:2(sum)
    88969    1.230    0.000    1.230    0.000 {built-in method builtins.sum}
        1    1.211    1.211   87.189   87.189 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\strategy_optimization.py:121(nash_equilibrium)
  1579150    1.172    0.000    1.172    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:74(<dictcomp>)
   978232    0.863    0.000    2.426    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:55(_wrapfunc)
   460008    0.800    0.000    0.800    0.000 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\compute_J.py:97(assign_when)
   840806    0.799    0.000    4.463    0.000 <__array_function__ internals>:2(reshape)
   840806    0.747    0.000    2.882    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:202(reshape)
   371876    0.637    0.000    0.637    0.000 {built-in method numpy.zeros}
  1293830    0.567    0.000    0.567    0.000 {built-in method builtins.getattr}
   325431    0.523    0.000    0.523    0.000 {built-in method numpy.array}
   270001    0.509    0.000    4.763    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2843(prod)
  1260749    0.485    0.000    0.485    0.000 {built-in method builtins.isinstance}
   315027    0.421    0.000    2.643    0.000 <__array_function__ internals>:2(concatenate)
   180000    0.404    0.000    0.404    0.000 {method 'flatten' of 'numpy.ndarray' objects}
   270000    0.338    0.000    5.344    0.000 <__array_function__ internals>:2(broadcast_to)
   270020    0.329    0.000    0.621    0.000 {built-in method builtins.any}
  1580032    0.322    0.000    0.322    0.000 {method 'items' of 'dict' objects}
   270001    0.307    0.000    5.402    0.000 <__array_function__ internals>:2(prod)
  1170000    0.291    0.000    0.291    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\lib\stride_tricks.py:121(<genexpr>)
  1254670    0.275    0.000    0.275    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2087(_sum_dispatcher)
   270000    0.257    0.000    4.702    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\lib\stride_tricks.py:143(broadcast_to)
   270083    0.214    0.000    0.301    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\lib\function_base.py:257(iterable)
      804    0.212    0.000    0.421    0.001 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\strategy_optimization.py:6(correct_scale_params)
   148413    0.189    0.000    0.189    0.000 {built-in method builtins.abs}
   840806    0.176    0.000    0.176    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:197(_reshape_dispatcher)
   317433    0.176    0.000    0.176    0.000 {method 'transpose' of 'numpy.ndarray' objects}
    45001    0.174    0.000    0.287    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:144(_commonType)
   270000    0.172    0.000    0.172    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\lib\stride_tricks.py:26(_maybe_view_as_subclass)
   137424    0.170    0.000    0.737    0.000 <__array_function__ internals>:2(transpose)
    45010    0.146    0.000    0.146    0.000 {method 'astype' of 'numpy.ndarray' objects}
   137424    0.128    0.000    0.419    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:604(transpose)
    90001    0.118    0.000    0.341    0.000 <__array_function__ internals>:2(count_nonzero)
     4971    0.105    0.000    0.204    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:2316(norm)
    45001    0.097    0.000    0.200    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:116(_makearray)
   270171    0.087    0.000    0.087    0.000 {built-in method builtins.iter}
   315027    0.084    0.000    0.084    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\multiarray.py:145(concatenate)
    49398    0.075    0.000    0.438    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2236(any)
    45000    0.075    0.000    2.549    0.000 <__array_function__ internals>:2(inv)
    45001    0.075    0.000    0.075    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:111(get_linalg_error_extobj)
    90001    0.069    0.000    0.132    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\numeric.py:402(count_nonzero)
    49398    0.068    0.000    0.571    0.000 <__array_function__ internals>:2(any)
   270001    0.067    0.000    0.067    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2838(_prod_dispatcher)
    45001    0.064    0.000    0.064    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:209(_assert_stacked_square)
    90001    0.063    0.000    0.063    0.000 {built-in method numpy.core._multiarray_umath.count_nonzero}
   270000    0.061    0.000    0.061    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\lib\stride_tricks.py:139(_broadcast_to_dispatcher)
    45001    0.056    0.000    0.056    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:203(_assert_stacked_2d)
        1    0.055    0.055    0.056    0.056 {built-in method show}
      403    0.055    0.000    0.102    0.000 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\strategy_optimization.py:74(compute_RHS_gradient)
     5014    0.049    0.000    0.049    0.000 {built-in method builtins.max}
    90003    0.048    0.000    0.067    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:121(isComplexType)
     5762    0.044    0.000    0.102    0.000 {method 'dirichlet' of 'numpy.random.mtrand.RandomState' objects}
    50119    0.040    0.000    0.097    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\_asarray.py:16(asarray)
   139980    0.038    0.000    0.038    0.000 {built-in method builtins.issubclass}
    45001    0.038    0.000    0.058    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:134(_realType)
   137424    0.036    0.000    0.036    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:600(_transpose_dispatcher)
     5002    0.029    0.000    0.029    0.000 {built-in method builtins.min}
    10079    0.024    0.000    0.024    0.000 {method 'copy' of 'numpy.ndarray' objects}
    90001    0.022    0.000    0.022    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\numeric.py:398(_count_nonzero_dispatcher)
     5763    0.021    0.000    0.021    0.000 {built-in method numpy.empty}
    45284    0.020    0.000    0.020    0.000 {method 'get' of 'dict' objects}
56212/56208    0.018    0.000    0.018    0.000 {built-in method builtins.len}
    45000    0.015    0.000    0.015    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
    45001    0.014    0.000    0.014    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:478(_unary_dispatcher)
     4971    0.012    0.000    0.232    0.000 <__array_function__ internals>:2(norm)
    49398    0.012    0.000    0.012    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2232(_any_dispatcher)
     1297    0.011    0.000    0.024    0.000 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\strategy_optimization.py:22(boundary_projection)
     5763    0.010    0.000    0.053    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\numeric.py:159(ones)
     5033    0.008    0.000    0.056    0.000 <__array_function__ internals>:2(all)
     5033    0.007    0.000    0.041    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2324(all)
     5763    0.007    0.000    0.022    0.000 <__array_function__ internals>:2(copyto)
    20185    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
     5758    0.006    0.000    0.019    0.000 <__array_function__ internals>:2(squeeze)
     5758    0.004    0.000    0.007    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:1426(squeeze)
        1    0.004    0.004    0.067    0.067 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\backends\backend_qt5.py:552(__init__)
        8    0.004    0.000    0.004    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\backends\backend_qt5.py:692(_icon)
     5758    0.003    0.000    0.003    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
     4971    0.003    0.000    0.003    0.000 {method 'conj' of 'numpy.ndarray' objects}
      186    0.002    0.000    0.027    0.000 {built-in method scipy.optimize._zeros._brentq}
     4971    0.002    0.000    0.002    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:2312(_norm_dispatcher)
        1    0.002    0.002   87.197   87.197 <ipython-input-265-6c48d13a95b0>:4(<module>)
       73    0.002    0.000    0.002    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\cbook\__init__.py:1679(normalize_kwargs)
        1    0.002    0.002    0.002    0.002 {built-in method raise_}
     5763    0.001    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\multiarray.py:1043(copyto)
 1110/913    0.001    0.000    0.002    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\artist.py:219(stale)
     5758    0.001    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:1422(_squeeze_dispatcher)
        9    0.001    0.000    0.006    0.001 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\lines.py:667(recache)
        3    0.001    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\zmq\sugar\socket.py:342(send)
     5033    0.001    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2320(_all_dispatcher)
        1    0.001    0.001   87.193   87.193 C:/Users/nmoll/OneDrive/Documents/Gen-Modeling-Governance/GM_code.py:9(sample)
     1022    0.001    0.000    0.001    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\__init__.py:811(__getitem__)
       16    0.001    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\lib\function_base.py:1141(diff)
      186    0.001    0.000    0.028    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\scipy\optimize\zeros.py:654(brentq)
      112    0.001    0.000    0.003    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\artist.py:942(update)
       21    0.001    0.000    0.007    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\lines.py:273(__init__)
        8    0.001    0.000    0.001    0.000 {built-in method addAction}
       56    0.001    0.000    0.001    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\artist.py:74(__init__)
       16    0.001    0.000    0.001    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\axis.py:842(reset_ticks)
        3    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.update_path_extents}
       16    0.000    0.000    0.003    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\ticker.py:1948(_validate_steps)
      119    0.000    0.000    0.001    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\transforms.py:164(set_children)
      249    0.000    0.000    0.000    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\transforms.py:82(__init__)
      224    0.000    0.000    0.001    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\cbook\__init__.py:2018(_setattr_cm)
       70    0.000    0.000    0.004    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\artist.py:1064(set)
        2    0.000    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\networkx\classes\digraph.py:643(add_edges_from)
      180    0.000    0.000    0.001    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\artist.py:49(_stale_axes_callback)
        6    0.000    0.000    0.005    0.001 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\axes\_base.py:2425(handle_single_axis)
     1791    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       13    0.000    0.000    0.000    0.000 {function NavigationToolbar2QT.sizeHint at 0x000002D5F17D9F28}
       19    0.000    0.000    0.000    0.000 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
      114    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\contextlib.py:59(__init__)
       16    0.000    0.000    0.006    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\scale.py:86(set_default_locators_and_formatters)
       16    0.000    0.000    0.001    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\ticker.py:1963(_staircase)
      120    0.000    0.000    0.001    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\transforms.py:1683(__init__)
       14    0.000    0.000    0.005    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\axis.py:332(_apply_params)
     1110    0.000    0.000    0.000    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\artist.py:774(get_animated)
        3    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.is_sorted}
       45    0.000    0.000    0.001    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\transforms.py:726(__init__)
      108    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\abc.py:180(__instancecheck__)
       20    0.000    0.000    0.000    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\transforms.py:2791(nonsingular)
      168    0.000    0.000    0.000    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\networkx\convert_matrix.py:598(<genexpr>)
        6    0.000    0.000    0.011    0.002 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\axis.py:56(__init__)
   103/80    0.000    0.000    0.000    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\transforms.py:137(_invalidate_internal)
       19    0.000    0.000    0.001    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\font_manager.py:620(__init__)
      239    0.000    0.000    0.000    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\artist.py:338(pchanged)
       16    0.000    0.000    0.000    0.000 C:\Users\nmoll\AppData\Roaming\Python\Python36\site-packages\matplotlib\cbook\__init__.py:163(connect)
