         30469671 function calls (30469298 primitive calls) in 78.766 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45000   18.743    0.000   71.285    0.002 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\objective_gradient.py:7(objective_grad)
    45002   10.215    0.000   17.217    0.000 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\compute_J.py:6(determine_stability)
  1584160    8.821    0.000    8.821    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   270000    5.047    0.000   17.652    0.000 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\objective_gradient.py:226(multiply_by_inverse_jacobian)
3294065/3293985    4.237    0.000   31.065    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1579150    3.394    0.000   13.754    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:73(_wrapreduction)
   270000    2.906    0.000    4.116    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\lib\stride_tricks.py:116(_broadcast_to)
    45000    2.432    0.000   76.008    0.002 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\strategy_optimization.py:26(grad_descent_constrained)
  1254670    2.200    0.000   12.119    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2092(sum)
  1566218    1.858    0.000    1.858    0.000 {method 'reshape' of 'numpy.ndarray' objects}
   454860    1.544    0.000    1.544    0.000 {built-in method numpy.arange}
    45000    1.350    0.000    2.163    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:482(inv)
  1254670    1.221    0.000   14.580    0.000 <__array_function__ internals>:2(sum)
        1    1.088    1.088   78.757   78.757 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\strategy_optimization.py:121(nash_equilibrium)
    88969    1.078    0.000    1.078    0.000 {built-in method builtins.sum}
  1579150    1.063    0.000    1.063    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:74(<dictcomp>)
   978232    0.811    0.000    2.253    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:55(_wrapfunc)
   840806    0.782    0.000    4.182    0.000 <__array_function__ internals>:2(reshape)
   460008    0.728    0.000    0.728    0.000 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\compute_J.py:97(assign_when)
   840806    0.701    0.000    2.688    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:202(reshape)
   371876    0.582    0.000    0.582    0.000 {built-in method numpy.zeros}
  1293830    0.532    0.000    0.532    0.000 {built-in method builtins.getattr}
   325431    0.494    0.000    0.494    0.000 {built-in method numpy.array}
   270001    0.473    0.000    4.369    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2843(prod)
  1260749    0.414    0.000    0.415    0.000 {built-in method builtins.isinstance}
   315027    0.388    0.000    2.375    0.000 <__array_function__ internals>:2(concatenate)
   180000    0.354    0.000    0.354    0.000 {method 'flatten' of 'numpy.ndarray' objects}
   270020    0.308    0.000    0.571    0.000 {built-in method builtins.any}
   270001    0.294    0.000    4.971    0.000 <__array_function__ internals>:2(prod)
   270000    0.293    0.000    4.926    0.000 <__array_function__ internals>:2(broadcast_to)
  1580032    0.290    0.000    0.290    0.000 {method 'items' of 'dict' objects}
  1170000    0.263    0.000    0.263    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\lib\stride_tricks.py:121(<genexpr>)
  1254670    0.251    0.000    0.251    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2087(_sum_dispatcher)
   270000    0.236    0.000    4.352    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\lib\stride_tricks.py:143(broadcast_to)
   270083    0.207    0.000    0.293    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\lib\function_base.py:257(iterable)
      804    0.188    0.000    0.365    0.000 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\strategy_optimization.py:6(correct_scale_params)
   148413    0.172    0.000    0.172    0.000 {built-in method builtins.abs}
   840806    0.166    0.000    0.166    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:197(_reshape_dispatcher)
   137424    0.162    0.000    0.687    0.000 <__array_function__ internals>:2(transpose)
   317433    0.161    0.000    0.161    0.000 {method 'transpose' of 'numpy.ndarray' objects}
    45001    0.161    0.000    0.265    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:144(_commonType)
   270000    0.159    0.000    0.159    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\lib\stride_tricks.py:26(_maybe_view_as_subclass)
    45010    0.135    0.000    0.135    0.000 {method 'astype' of 'numpy.ndarray' objects}
   137424    0.118    0.000    0.383    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:604(transpose)
     4971    0.105    0.000    0.197    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:2316(norm)
    90001    0.104    0.000    0.311    0.000 <__array_function__ internals>:2(count_nonzero)
    45001    0.093    0.000    0.188    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:116(_makearray)
   270171    0.086    0.000    0.086    0.000 {built-in method builtins.iter}
   315027    0.079    0.000    0.079    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\multiarray.py:145(concatenate)
    49398    0.069    0.000    0.388    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2236(any)
    45000    0.068    0.000    2.310    0.000 <__array_function__ internals>:2(inv)
    45001    0.066    0.000    0.066    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:111(get_linalg_error_extobj)
    90001    0.065    0.000    0.122    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\numeric.py:402(count_nonzero)
    49398    0.063    0.000    0.512    0.000 <__array_function__ internals>:2(any)
   270001    0.062    0.000    0.062    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:2838(_prod_dispatcher)
    45001    0.062    0.000    0.062    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:209(_assert_stacked_square)
   270000    0.057    0.000    0.057    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\lib\stride_tricks.py:139(_broadcast_to_dispatcher)
    90001    0.057    0.000    0.057    0.000 {built-in method numpy.core._multiarray_umath.count_nonzero}
    45001    0.053    0.000    0.053    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:203(_assert_stacked_2d)
        1    0.053    0.053    0.053    0.053 {built-in method show}
      403    0.051    0.000    0.093    0.000 C:\Users\nmoll\OneDrive\Documents\Gen-Modeling-Governance\strategy_optimization.py:74(compute_RHS_gradient)
    90003    0.045    0.000    0.063    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:121(isComplexType)
     5014    0.044    0.000    0.044    0.000 {built-in method builtins.max}
     5762    0.038    0.000    0.090    0.000 {method 'dirichlet' of 'numpy.random.mtrand.RandomState' objects}
    50119    0.037    0.000    0.088    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\_asarray.py:16(asarray)
   139980    0.036    0.000    0.036    0.000 {built-in method builtins.issubclass}
   137424    0.035    0.000    0.035    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\fromnumeric.py:600(_transpose_dispatcher)
    45001    0.035    0.000    0.054    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:134(_realType)
     5002    0.028    0.000    0.028    0.000 {built-in method builtins.min}
    10079    0.024    0.000    0.024    0.000 {method 'copy' of 'numpy.ndarray' objects}
    90001    0.021    0.000    0.021    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\core\numeric.py:398(_count_nonzero_dispatcher)
    45284    0.020    0.000    0.020    0.000 {method 'get' of 'dict' objects}
56212/56208    0.017    0.000    0.017    0.000 {built-in method builtins.len}
    45000    0.014    0.000    0.014    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
    45001    0.013    0.000    0.013    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numpy\linalg\linalg.py:478(_unary_dispatcher)
