         152754 function calls (142365 primitive calls) in 0.243 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      383    0.074    0.000    0.074    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\binding\ffi.py:111(__call__)
5857/2759    0.007    0.000    0.025    0.000 {method 'format' of 'str' objects}
 3424/777    0.006    0.000    0.008    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\ir.py:313(_rec_list_vars)
    28422    0.006    0.000    0.009    0.000 {built-in method builtins.isinstance}
      986    0.004    0.000    0.011    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:13(__init__)
3388/1508    0.003    0.000    0.024    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\_utils.py:44(__str__)
     1004    0.003    0.000    0.021    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:219(_to_string)
     2524    0.002    0.000    0.006    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\_utils.py:54(get_reference)
     1275    0.002    0.000    0.010    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:212(__init__)
     1274    0.002    0.000    0.004    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\_utils.py:24(deduplicate)
   341/72    0.002    0.000    0.012    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\runtime\context.py:180(get_meminfos)
     1052    0.002    0.000    0.003    0.000 C:\Users\nmoll\Anaconda3\lib\abc.py:180(__instancecheck__)
     1307    0.002    0.000    0.007    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\values.py:232(_set_name)
       20    0.001    0.000    0.001    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\ir.py:1193(__init__)
 1575/970    0.001    0.000    0.003    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\numba\core\types\abstract.py:118(__hash__)
       90    0.001    0.000    0.003    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\colorama\win32.py:98(winapi_test)
      375    0.001    0.000    0.003    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\instructions.py:638(descr)
     1307    0.001    0.000    0.006    0.000 C:\Users\nmoll\Anaconda3\lib\site-packages\llvmlite\ir\_utils.py:16(register)
